years,jugador,F. Nac.,Edad,Exp.,REF,GB,GP,GS,C
2020-21,Ruddy Acosta,09/11/1991,29,1,,2,2,,0
2020-21,Alexander Álvarez,14/09/1996,24,2,,8,0,,8
2020-21,Juan Apodaca,15/07/1986,34,13,,13,0,,13
2020-21,Gustavo Armas,15/01/1996,24,2,,12,12,,0
2020-21,Sandy Báez,25/11/1993,27,1,,7,7,,0
2020-21,Johan Belisario,13/08/1993,27,2,,6,6,,0
2020-21,Yeikel Blandin,09/01/2000,20,1,,3,0,,0
2020-21,Jorgan Cavanerio,18/08/1994,26,4,,15,15,,0
2020-21,Lorenzo Cedrola,12/01/1998,22,1,,28,0,,0
2020-21,Rafael Cova,05/03/1982,38,17,,16,16,,0
2020-21,Víctor Díaz,06/10/1993,27,2,,9,9,,0
2020-21,Edgar Duran,10/02/1991,29,9,,24,0,,0
2020-21,Anthony Escobar,25/08/2000,20,1,,6,6,,0
2020-21,Jonathan Galvez,18/01/1991,29,2,,13,0,,0
2020-21,Maikel García,03/03/2000,20,1,,15,0,,0
2020-21,Yhoswar Garcia,13/09/2001,19,1,,7,0,,0
2020-21,Ofreidy Gómez,06/07/1995,25,1,,5,5,,0
2020-21,Néstor Heredia,25/11/2000,20,1,,7,0,,0
2020-21,Arnaldo Hernández,09/02/1996,24,1,,14,14,,0
2020-21,Nelson Hernández,13/03/1997,23,1,,9,9,,0
2020-21,Carlos Herrera,23/09/1996,24,3,,23,0,,0
2020-21,Eudis Idrogo,06/06/1995,25,5,,9,9,,0
2020-21,Diego Infante,22/10/1999,21,1,,18,0,,0
2020-21,Gregory Infante,10/07/1987,33,12,,17,17,,0
2020-21,Eduardo Jiménez,04/04/1995,25,1,,8,8,,0
2020-21,Kristhiam Linares,17/05/1986,34,10,,10,10,,0
2020-21,José Martínez,25/07/1988,32,11,,30,0,,0
2020-21,Teodoro Martínez,16/03/1992,28,8,,32,0,,0
2020-21,Daniel Mayora,27/07/1985,35,13,,36,0,,0
2020-21,Hector Mayora,22/06/1989,31,6,,7,7,,0
2020-21,Henry Medina,05/09/1997,23,1,,7,7,,0
2020-21,Christian Mejias,19/05/1999,21,1,,4,4,,0
2020-21,Kelvin Melean,05/09/1998,22,1,,15,0,,0
2020-21,Heiker Meneses,01/07/1991,29,12,,31,0,,0
2020-21,Yosmel Naranjo,08/03/2000,20,1,,2,2,,0
2020-21,Antonio Noguera,26/02/1988,32,7,,8,8,,0
2020-21,Hassan Pena,25/03/1985,35,7,,5,5,,0
2020-21,Arvicent Pérez,14/01/1994,26,4,,11,0,,11
2020-21,Jairo Pérez,10/06/1988,32,10,,29,0,,0
2020-21,Joel Pinto,25/09/1996,24,1,,2,2,,0
2020-21,Julio Pinto,18/11/1995,25,3,,11,11,,0
2020-21,Manuel Rodríguez,23/12/1996,24,1,,7,7,,0
2020-21,Wuilder Rodríguez,21/01/1993,27,3,,8,8,,0
2020-21,Brayan Salaya,13/02/2000,20,1,,3,3,,0
2020-21,Junior Sosa,03/10/1990,30,7,,33,0,,0
2020-21,Eduardo Torrealba,26/03/1999,21,1,,10,0,,0
2020-21,Jhonathan Torres,20/03/1990,30,4,,8,8,,0
2020-21,Juan Torres,10/07/1988,32,6,,21,0,,0
2020-21,Danry Vásquez,08/01/1994,26,6,,27,0,,0
2020-21,Ángel Ventura,07/04/1993,27,3,,2,2,,0
